interface,source_mac,dest_mac,vlan_tag
Eth5,9c:7b:ef:aa:2b:b7,9c:7b:ef:aa:2c:51
Eth7,90:6c:ac:b2:1e:c6,70:5a:0f:46:30:50,20
Eth6,9c:7b:ef:aa:2c:6b,9c:7b:ef:aa:2b:b7
Eth0,70:5a:0f:46:30:50,dc:4a:3e:7e:8f:2b
Eth3,dc:4a:3e:7e:8f:2b,64:51:06:3e:fe:90
Eth4,ec:b1:d7:5b:a1:b4,70:5a:0f:46:30:50
Eth7,9c:7b:ef:aa:2c:51,dc:4a:3e:7e:90:12,30
Eth5,9c:7b:ef:aa:2b:b7,90:6c:ac:b2:1e:c6
Eth3,dc:4a:3e:7e:8f:2b,9c:7b:ef:aa:2c:6b
Eth5,9c:7b:ef:aa:2b:b7,ec:b1:d7:5b:a1:b4
Eth3,dc:4a:3e:7e:8f:2b,9c:7b:ef:aa:2b:b7
Eth0,70:5a:0f:46:30:50,9c:7b:ef:aa:2c:51
Eth3,dc:4a:3e:7e:8f:2b,9c:7b:ef:aa:2c:51
Eth3,dc:4a:3e:7e:8f:2b,64:51:06:3e:fe:90
Eth4,ec:b1:d7:5b:a1:b4,9c:7b:ef:aa:2c:51
Eth7,9c:7b:ef:aa:2c:51,dc:4a:3e:7e:8f:2b,30
Eth3,dc:4a:3e:7e:8f:2b,dc:4a:3e:7e:90:12
Eth0,70:5a:0f:46:30:50,ff:ff:ff:ff:ff:ff
Eth4,ec:b1:d7:5b:a1:b4,64:51:06:3e:fe:90
Eth5,9c:7b:ef:aa:2b:b7,9c:7b:ef:aa:2c:51
Eth3,dc:4a:3e:7e:8f:2b,64:51:06:3e:fe:90
Eth7,64:51:06:3e:fe:90,ec:b1:d7:5b:a1:b4,20
Eth7,64:51:06:3e:fe:90,70:5a:0f:46:30:50,20
Eth3,dc:4a:3e:7e:8f:2b,70:5a:0f:44:3d:77
Eth6,9c:7b:ef:aa:2c:6b,dc:4a:3e:7e:90:12
Eth0,70:5a:0f:46:30:50,64:51:06:3e:fe:90
Eth1,dc:4a:3e:7e:90:12,9c:7b:ef:aa:2c:6b
Eth4,ec:b1:d7:5b:a1:b4,90:6c:ac:b2:1e:c6
Eth3,dc:4a:3e:7e:8f:2b,90:6c:ac:b2:1e:c6
Eth3,dc:4a:3e:7e:8f:2b,ff:ff:ff:ff:ff:ff
Eth7,64:51:06:3e:fe:90,70:5a:0f:46:30:50,20
Eth7,90:6c:ac:b2:1e:c6,dc:4a:3e:7e:90:12,20
Eth1,dc:4a:3e:7e:90:12,70:5a:0f:44:3d:77
Eth3,dc:4a:3e:7e:8f:2b,90:6c:ac:b2:1e:c6
Eth0,70:5a:0f:46:30:50,70:5a:0f:44:3d:77
Eth0,70:5a:0f:46:30:50,9c:7b:ef:aa:2c:51
Eth3,dc:4a:3e:7e:8f:2b,70:5a:0f:44:3d:77
Eth4,ec:b1:d7:5b:a1:b4,90:6c:ac:b2:1e:c6
Eth7,9c:7b:ef:aa:2c:51,ec:b1:d7:5b:a1:b4,30
Eth7,9c:7b:ef:aa:2c:51,ec:b1:d7:5b:a1:b4,30
Eth3,dc:4a:3e:7e:8f:2b,dc:4a:3e:7e:90:12
Eth2,70:5a:0f:44:3d:77,70:5a:0f:46:30:50
Eth4,ec:b1:d7:5b:a1:b4,9c:7b:ef:aa:2c:6b
Eth2,70:5a:0f:44:3d:77,64:51:06:3e:fe:90
Eth6,9c:7b:ef:aa:2c:6b,70:5a:0f:44:3d:77
Eth1,dc:4a:3e:7e:90:12,dc:4a:3e:7e:8f:2b
